Country,Area,Members,Population,LDS,2013,Change,Growth(),oftotalgrowth
Tonga, Pacific, 68404, 104889, 65.216, 63065, 5339, 8.466, 0.246
Samoa, Pacific, 88726, 208853, 42.483, 75971, 12755, 16.789, 0.587
AmericanSamoa, Pacific, 16611, 43895, 37.843, 16621, −10, -0.06, -0
CookIslands, Pacific, 1888, 7761, 24.327, 1849, 39, 2.109, 0.002
Kiribati, Pacific, 22643, 116545, 19.429, 16795, 5848, 34.82, 0.269
Niue, Pacific, 319, 2000, 15.95, 288, 31, 10.764, 0.001
FrenchPolynesia, Pacific, 29700, 303540, 9.785, 24755, 4945, 19.976, 0.228
MarshallIslands, Pacific, 6762, 82011, 8.245, 6762, 0, 0, 0
FederatedStatesofMicronesia, AsiaNorth, 5940, 99603, 5.964, 5643, 297, 5.263, 0.014
Vanuatu, Pacific, 11940, 318007, 3.755, 6693, 5247, 78.395, 0.241
Chile, SASouth, 607583, 18664652, 3.255, 579235, 28348, 4.894, 1.304
Uruguay, SASouth, 108060, 3425330, 3.155, 102999, 5061, 4.914, 0.233
Tuvalu, Pacific, 348, 11733, 2.966, 227, 121, 53.304, 0.006
CapeVerde, EuropeNorth, 17124, 611014, 2.803, 10796, 6328, 58.614, 0.291
Palau, AsiaNorth, 549, 21864, 2.511, 457, 92, 20.131, 0.004
Fiji, Pacific, 23898, 951611, 2.511, 18340, 5558, 30.305, 0.256
NewZealand, Pacific, 117909, 5161211, 2.285, 109920, 7989, 7.268, 0.368
UnitedStates, NorthAmerica, 6868793, 341963408, 2.009, 6466267, 402526, 6.225, 18.521
Honduras, CentralAmerica, 187341, 9529188, 1.966, 165553, 21788, 13.161, 1.003
ElSalvador, CentralAmerica, 129963, 6628702, 1.961, 120317, 9646, 8.017, 0.444
Peru, SANorthwest, 637180, 32600249, 1.955, 557328, 79852, 14.328, 3.674
Bolivia, SANorthwest, 225140, 12311974, 1.829, 192339, 32801, 17.054, 1.509
NorthernMarianaIslands, AsiaNorth, 896, 51118, 1.753, 789, 107, 13.561, 0.005
Guatemala, CentralAmerica, 290086, 18255216, 1.589, 255505, 34581, 13.534, 1.591
Nicaragua, CentralAmerica, 101907, 6676948, 1.526, 87880, 14027, 15.962, 0.645
Guam, AsiaNorth, 2511, 169532, 1.481, 2265, 246, 10.861, 0.011
Ecuador, SANorthwest, 264802, 18309984, 1.446, 229294, 35508, 15.486, 1.634
Panama, CentralAmerica, 61980, 4470241, 1.387, 51102, 10878, 21.287, 0.501
DominicanRepublic, Caribbean, 149655, 10815857, 1.384, 127530, 22125, 17.349, 1.018
Belize, CentralAmerica, 5631, 415789, 1.354, 4807, 824, 17.142, 0.038
Nauru, Pacific, 132, 9892, 1.334, 103, 29, 28.155, 0.001
Paraguay, SASouth, 100121, 7522549, 1.331, 88775, 11346, 12.781, 0.522
Mexico, Mexico, 1516406, 130739927, 1.16, 1368475, 147931, 10.81, 6.807
CostaRica, CentralAmerica, 54473, 5265575, 1.035, 44627, 9846, 22.063, 0.453
Argentina, SASouth, 481518, 46994384, 1.025, 432007, 49511, 11.461, 2.278
Guyana, Caribbean, 6834, 794099, 0.861, 5575, 1259, 22.583, 0.058
NewCaledonia, Pacific, 2526, 304167, 0.83, 2244, 282, 12.567, 0.013
PuertoRico, Caribbean, 23222, 3019450, 0.769, 23064, 158, 0.685, 0.007
Philippines, Philippines, 867271, 118277063, 0.733, 710764, 156507, 22.02, 7.201
SaintVincentandtheGrenadines, Caribbean, 717, 100647, 0.712, 600, 117, 19.5, 0.005
Brazil, Brazil, 1494571, 220051512, 0.679, 1289376, 205195, 15.914, 9.441
SintMaarten, Caribbean, 284, 46215, 0.615, 260, 24, 9.231, 0.001
UnitedStatesVirginIslands, Caribbean, 638, 104377, 0.611, 590, 48, 8.136, 0.002
Australia, Pacific, 157079, 26768598, 0.587, 143891, 13188, 9.165, 0.607
Venezuela, SANorthwest, 176623, 31250306, 0.565, 164048, 12575, 7.665, 0.579
Canada, NorthAmerica, 203339, 38794813, 0.524, 192299, 11040, 5.741, 0.508
Aruba, Caribbean, 638, 125063, 0.51, 511, 127, 24.853, 0.006
Portugal, EuropeNorth, 47916, 10207177, 0.469, 41917, 5999, 14.312, 0.276
Colombia, SANorthwest, 215331, 49588357, 0.434, 190577, 24754, 12.989, 1.139
SaintKittsandNevis, Caribbean, 227, 55133, 0.412, 197, 30, 15.228, 0.001
Liberia, AfricaWest, 21441, 5437249, 0.394, 8081, 13360, 165.326, 0.615
Barbados, Caribbean, 1185, 304139, 0.39, 908, 277, 30.507, 0.013
PapuaNewGuinea, Pacific, 38760, 10046233, 0.386, 22982, 15778, 68.654, 0.726
Curaçao, Caribbean, 589, 153289, 0.384, 552, 37, 6.703, 0.002
Mongolia, AsiaNorth, 12444, 3281676, 0.379, 11028, 1416, 12.84, 0.065
Grenada, Caribbean, 402, 114621, 0.351, 376, 26, 6.915, 0.001
CaymanIslands, Caribbean, 234, 66653, 0.351, 201, 33, 16.418, 0.002
BritishVirginIslands, Caribbean, 138, 40102, 0.344, 150, −12, -8, -0.001
SierraLeone, AfricaWest, 31080, 9121049, 0.341, 13078, 18002, 137.651, 0.828
HongKong, Asia, 24580, 7297821, 0.337, 24746, −166, -0.671, -0.008
Bonaire, Caribbean, 80, 24090, 0.332, 78, 2, 2.564, 0
IsleofMan, EuropeNorth, 288, 92269, 0.312, 293, −5, -1.706, -0
Ghana, AfricaWest, 106888, 34589092, 0.309, 57748, 49140, 85.094, 2.261
AntiguaandBarbuda, Caribbean, 313, 102634, 0.305, 196, 117, 59.694, 0.005
Suriname, Caribbean, 1848, 646758, 0.286, 1430, 418, 29.231, 0.019
UnitedKingdom, EuropeNorth, 186350, 68459055, 0.272, 188462, −2112, -1.121, -0.097
Bermuda, NorthAmerica, 197, 72800, 0.271, 156, 41, 26.282, 0.002
Jersey, EuropeNorth, 275, 103387, 0.266, 300, −25, -8.333, -0.001
Taiwan, Asia, 62390, 23595274, 0.264, 57889, 4501, 7.775, 0.207
Bahamas, Caribbean, 1076, 410862, 0.262, 998, 78, 7.816, 0.004
TrinidadandTobago, Caribbean, 3488, 1408966, 0.248, 3328, 160, 4.808, 0.007
TurksandCaicosIslands, Caribbean, 147, 60439, 0.243, 92, 55, 59.783, 0.003
Jamaica, Caribbean, 6846, 2823713, 0.242, 5891, 955, 16.211, 0.044
Zimbabwe, AfricaSouth, 41262, 17150352, 0.241, 25001, 16261, 65.041, 0.748
SaintLucia, Caribbean, 404, 168038, 0.24, 303, 101, 33.333, 0.005
Dominica, Caribbean, 167, 74661, 0.224, 182, −15, -8.242, -0.001
Macau, Asia, 1446, 644426, 0.224, 1398, 48, 3.433, 0.002
Haiti, Caribbean, 25560, 11753943, 0.217, 20414, 5146, 25.208, 0.237
SolomonIslands, Pacific, 1524, 726799, 0.21, 638, 886, 138.871, 0.041
IvoryCoast, AfricaWest, 63058, 29981758, 0.21, 22576, 40482, 179.314, 1.863
RepublicoftheCongo, AfricaCentral, 12626, 6097665, 0.207, 5787, 6839, 118.179, 0.315
Eswatini, AfricaSouth, 2253, 1138089, 0.198, 1522, 731, 48.029, 0.034
Botswana, AfricaSouth, 4406, 2450668, 0.18, 3021, 1385, 45.846, 0.064
FrenchGuiana, Caribbean, 507, 295385, 0.172, 373, 134, 35.925, 0.006
SouthKorea, AsiaNorth, 88621, 52081799, 0.17, 86719, 1902, 2.193, 0.088
Guadeloupe, Caribbean, 576, 378561, 0.152, 492, 84, 17.073, 0.004
Spain, EuropeCentral, 65948, 47280433, 0.139, 51192, 14756, 28.825, 0.679
