Country,Area,Operating,UnderContruction,Announced,Total,Missions,Districts,Stakes,Wards,Branches,Total,FSC
Albania,EuropeCentral,0,0,0,0,1,1,1,6,8,14,4
AmericanSamoa,Pacific,0,1,0,1,0,0,5,39,5,44,6
Andorra,EuropeCentral,0,0,0,0,0,0,0,0,1,1,0
Angola,AfricaSouth,0,0,1,1,1,1,2,13,12,25,1
AntiguaandBarbuda,Caribbean,0,0,0,0,0,0,0,0,1,1,1
Argentina,SASouth,4,1,2,7,13,25,79,491,238,729,135
Armenia,EuropeEast,0,0,0,0,1,1,0,0,7,7,4
Aruba,Caribbean,0,0,0,0,0,0,0,0,2,2,2
Australia,Pacific,5,0,1,6,5,4,41,236,70,306,275
Austria,EuropeCentral,0,0,1,1,0,0,2,14,3,17,12
Bahamas,Caribbean,0,0,0,0,0,0,0,0,3,3,1
Bahrain,MEAN,0,0,0,0,0,0,1,1,0,1,0
Bangladesh,Asia,0,0,0,0,0,0,0,0,1,1,0
Barbados,Caribbean,0,0,0,0,1,1,0,0,3,3,1
Belarus,EuropeEast,0,0,0,0,0,1,0,0,3,3,1
Belgium,EuropeCentral,0,0,1,1,0,0,2,10,2,12,8
Belize,CentralAmerica,0,0,0,0,0,0,0,0,12,12,2
Benin,AfricaWest,0,0,0,0,1,0,2,21,5,26,1
Bermuda,NorthAmerica,0,0,0,0,0,0,0,0,1,1,0
Bolivia,SANorthwest,1,1,1,3,5,8,33,211,62,273,55
Bonaire,Caribbean,0,0,0,0,0,0,0,0,1,1,1
BosniaandHerzegovina,EuropeCentral,0,0,0,0,0,0,0,0,1,1,0
Botswana,AfricaSouth,0,0,0,0,1,0,1,9,8,17,2
Brazil,Brazil,11,3,8,22,36,39,285,1783,389,2172,387
BritishVirginIslands,Caribbean,0,0,0,0,0,0,0,0,1,1,0
Bulgaria,EuropeCentral,0,0,0,0,1,0,0,0,7,7,4
Burundi,AfricaCentral,0,0,0,0,0,0,0,0,4,4,1
Cambodia,Asia,0,1,0,1,1,4,2,10,18,28,12
Cameroon,AfricaCentral,0,0,0,0,1,2,0,0,16,16,1
Canada,NorthAmerica,9,0,2,11,6,4,53,347,142,489,440
CapeVerde,EuropeNorth,1,0,0,1,1,1,4,28,12,40,7
CaymanIslands,Caribbean,0,0,0,0,0,0,0,0,1,1,1
CentralAfricanRepublic,AfricaCentral,0,0,0,0,0,0,0,0,1,1,0
Chile,SASouth,2,2,2,6,10,11,78,441,130,571,106
China,Asia,0,0,1,1,0,12,0,0,65,65,3
Colombia,SANorthwest,2,0,2,4,5,10,31,174,82,256,57
CookIslands,Pacific,0,0,0,0,0,0,0,0,5,5,3
CostaRica,CentralAmerica,1,0,0,1,2,1,10,60,20,80,16
