Country,Temple Count
Nigeria,1
IvoryCoast,1
Accra Greater Accra Ghana,1
Afton Wyoming United States,1
Alabama United States,1
Alaska United States,1
Alberta Canada,1
Albuquerque New Mexico United States,1
Alto Queru Queru Cochabamba Bolivia,1
American Fork Utah United States,1
Anchorage Alaska United States,1
Angola,1
Antiguo Cuscatlan La Libertad El Salvador,1
Antofagasta Chile,1
Apex North Carolina United States,1
Apia Pesega Samoa,1
Arequipa Peru,1
Argentina,3
Arizona United States,2
Asuncion Alto Paraguay Paraguay,1
Atsubetsu-ku Sapporo Hokkaido Japan,1
Auckland New Zealand,1
Australia,1
Austria,1
Bangalore India,1
Bangkok Thailand,1
Barranquilla Colombia,1
Bartlett Tennessee United States,1
Baton Rouge Louisiana United States,1
Belem Para Brazil,1
Belen Heredia Costa Rica,1
Belgium,1
Bellevue Washington United States,1
Belmont Massachusetts United States,1
Bentonville Arkansas United States,1
Billings Montana United States,1
Bismarck North Dakota United States,1
Bloomfield Hills Michigan United States,1
Boca del Rio Veracruz Mexico,1
Bogota Distrito Capital Colombia,1
Boise Idaho United States,1
Bolivia,2
Bountiful Utah United States,1
Brampton Ontario Canada,1
Brasilia Brazil,1
Brazil,12
Brigham City Utah United States,1
Calgary Alberta Canada,1
California United States,4
Campinas Sao Paulo Brazil,1
Canada,1
Caracas Dependencias Federales Venezuela,1
Cardston Alberta Canada,1
Carlingford New South Wales Australia,1
Carmel Indiana United States,1
Carrasco Montevideo Uruguay,1
Casper Wyoming United States,1
Cebu City Cebu Philippines,1
Cedar City Utah United States,1
Centennial Colorado United States,1
Central Arizona United States,1
Central Point Oregon United States,1
Chile,3
China,1
Chorley Lancashire England,1
Ciudad Evita Buenos Aires Argentina,1
Ciudad Juarez Chihuahua Mexico,1
Ciudad Madero Tamaulipas Mexico,1
Coban Guatemala,1
Colombia,2
Colonia Juarez Chihuahua Mexico,1
Colorado United States,2
Columbus Ohio United States,1
Comayaguela Francisco Morazan Honduras,1
Concepcion Chile,1
Cordoba Argentina,1
Corozal Ancon Panama Panama,1
Cranberry Township Pennsylvania United States,1
Crestwood Kentucky United States,1
Curitiba Parana Brazil,1
Dallas Texas United States,1
Dartmouth Nova Scotia Canada,1
Davao Philippines,1
Davie Florida United States,1
Democratic Republic of the Congo,3
Dominican Republic,1
Draper Utah United States,1
Durban South Africa,1
Edmonton Alberta Canada,1
El Salvador,1
Espoo Uusimaa Finland,1
Farmington Connecticut United States,1
Florida United States,2
Fort Collins Colorado United States,1
Fortaleza Ceara Brazil,1
Franklin Tennessee United States,1
Frederiksberg Hovedstaden Denmark,1
Freiberg Sachsen Germany,1
French Polynesia,1
Fresno California United States,1
Friedrichsdorf Hessen Germany,1
Fukuoka-shi Fukuoka Japan,1
Gardendale Alabama United States,1
Germany,1
Ghana,2
Gilbert Arizona United States,1
Glen Allen Virginia United States,1
Glenview Illinois United States,1
Guatemala,3
Guatemala City Guatemala Guatemala,1
Guayaquil Guayas Ecuador,1
Hamilton Auckland New Zealand,1
Harare Zimbabwe,1
Hawaii United States,2
Helena Montana United States,1
Hermosillo Sonora Mexico,1
Hopkins South Carolina United States,1
Hungary,1
Idaho Falls Idaho United States,1
Idaho United States,3
Indonesia,1
Iowa United States,1
Ireland,1
Italy,1
Japan,1
Johannesburg Gauteng South Africa,1
Kailua-Kona Hawaii United States,1
Kangaroo Point Queensland Australia,1
Kansas City Missouri United States,1
Kansas United States,1
Kensington Maryland United States,1
Kinshasa Democratic Republic of the Congo,1
Kiribati,1
Kowloon Tong Kowloon City Hong Kong,1
Kyevo-Sviatoshyns'ky Rayon Kyiv Ukraine,1
La Molina Lima Peru,1
Laie Hawaii United States,1
Lake Oswego Oregon United States,1
Lanao Del Norte Philippines,1
Langley British Columbia Canada,1
Las Vegas Nevada United States,1
Layton Utah United States,1
Le Chesnay France,1
Liahona Tongatapu Tonga,1
Liberia,1
Lindon Utah United States,1
Lisbon Portugal,1
Location Not Available,1
Logan Utah United States,1
Longueuil Quebec Canada,1
Los Angeles California United States,1
Los Olivos Lima Peru,1
Lubbock Texas United States,1
Madagascar,1
Madrid Madrid Spain,1
Manaus Amazonas Brazil,1
Manti Utah United States,1
Marden South Australia Australia,1
McAllen Texas United States,1
Mendoza Argentina,1
Merida Yucatan Mexico,1
Meridian Idaho United States,1
Mesa Arizona United States,1
Mexico,12
Mexico Distrito Federal Mexico,1
Michigan United States,1
Minato-ku Tokyo Japan,1
Missouri United States,1
Mongolia,1
Montana United States,1
Monterrey Nuevo Leon Mexico,1
Monticello Utah United States,1
Moses Lake Washington United States,1
Mozambique,2
Nairobi Kenya,1
Nauvoo Illinois United States,1
Neiafu Vava'u Tonga,1
Nevada United States,2
New Jersey United States,1
New Mexico United States,1
New York New York United States,1
New Zealand,1
Newchapel Surrey England,1
Newport Beach California United States,1
Nicaragua,1
Nigeria,5
North Carolina United States,1
Norway,1
Oakdale Minnesota United States,1
Oakland California United States,1
Oaxaca Oaxaca Mexico,1
Ogden Utah United States,1
Ohio United States,2
Okinawa Japan,1
Oklahoma United States,1
Omaha Nebraska United States,1
Oregon United States,1
Orem Utah United States,1
Palmyra New York United States,1
Papeete Tahiti French Polynesia,1
Papua New Guinea,1
Payson Utah United States,1
Pennsylvania United States,1
Peru,5
Philadelphia Pennsylvania United States,1
Philippines,8
Phnom Penh Cambodia,1
Phoenix Arizona United States,1
Pocatello Idaho United States,1
Port-au-Prince Haiti,1
Porto Alegre Rio Grande do Sul Brazil,1
Praia Cape Verde,1
Providencia Santiago Chile,1
Provo Utah United States,2
Puebla Puebla Mexico,1
Quetzaltenango Quezaltenango Guatemala,1
Quezon City Metro Manila Philippines,1
Quito Ecuador,1
Rancho Cordova California United States,1
Recife Pernambuco Brazil,1
Redlands California United States,1
Regina Saskatchewan Canada,1
Reno Nevada United States,1
Republic of the Congo,1
Rexburg Idaho United States,1
Richland Washington United States,1
Rio de Janeiro Brazil,1
Rome Roma Italy,1
Russia,1
Salt Lake City Utah United States,1
Salta Argentina,1
Salvador Bahia Brazil,1
Samabula Suva Fiji,1
San Antonio Texas United States,1
San Diego California United States,1
San Juan Puerto Rico,1
San Pedro Sula Honduras,1
Sandy Springs Georgia United States,1
Santo Domingo Distrito Nacional Dominican Republic,1
Sao Paulo Sao Paulo Brazil,1
Saratoga Springs Utah United States,1
Seoul Seoul-teukbyeolsi South Korea,1
Sierra Leone,1
Singapore,1
Snowflake Arizona United States,1
South Africa,1
South Jordan Utah United States,2
South Korea,1
Spain,1
Spokane Washington United States,1
Spring Texas United States,1
St. George Utah United States,2
St. Louis Missouri United States,1
Syracuse Utah United States,1
Tafuna Western District American Samoa,1
Taipei Taipei Taiwan,1
Taiwan,1
Tallahassee Florida United States,1
Taylorsville Utah United States,1
Tennessee United States,1
Texas United States,5
Tijuana Baja California Mexico,1
Tooele Utah United States,1
Trujillo La Libertad Peru,1
Tucson Arizona United States,1
Tuxtla Gutierrez Chiapas Mexico,1
Twin Falls Idaho United States,1
Uganda,1
United Arab Emirates,1
United Kingdom,2
United States,1
Urdaneta Pangasinan Philippines,1
Utah United States,6
Vanuatu,1
Vasterhaninge Sweden,1
Venezuela,1
Vernal Utah United States,1
Villahermosa Tabasco Mexico,1
Virginia United States,2
Wantirna South Victoria Australia,1
Washington United States,2
Windermere Florida United States,1
Winnipeg Manitoba Canada,1
Wisconsin United States,1
Wyoming United States,1
Yigo Guam,1
Yokine Western Australia Australia,1
Yuba City California United States,1
