Name,Country,Dedicated
Aba Nigeria Temple,Aba Abia Nigeria,O
Abidjan Ivory Coast Temple,Abidjan Cote d'Ivoire,S
Abuja Nigeria Temple,Nigeria,A
Accra Ghana Temple,Accra Greater Accra Ghana,O
Adelaide Australia Temple,Marden South Australia Australia,O
Alabang Philippines Temple,Philippines,C
Albuquerque New Mexico Temple,Albuquerque New Mexico United States,O
Anchorage Alaska Temple,Anchorage Alaska United States,O
Antananarivo Madagascar Temple,Madagascar,C
Antofagasta Chile Temple,Antofagasta Chile,C
Apia Samoa Temple,Apia Pesega Samoa,O
Arequipa Peru Temple,Arequipa Peru,O
Asuncion Paraguay Temple,Asuncion Alto Paraguay Paraguay,O
Atlanta Georgia Temple,Sandy Springs Georgia United States,O
Auckland New Zealand Temple,Auckland New Zealand,S
Austin Texas Temple,Texas United States,C
Bacolod Philippines Temple,Lanao Del Norte Philippines,C
Bahia Blanca Argentina Temple,Argentina,C
Bakersfield California Temple,California United States,A
Bangkok Thailand Temple,Bangkok Thailand,O
Barcelona Spain Temple,Spain,A
Barranquilla Colombia Temple,Barranquilla Colombia,O
Baton Rouge Louisiana Temple,Baton Rouge Louisiana United States,O
Beira Mozambique Temple,Mozambique,A
Belem Brazil Temple,Belem Para Brazil,O
Belo Horizonte Brazil Temple,Brazil,C
Bengaluru India Temple,Bangalore India,C
Benin City Nigeria Temple,Nigeria,A
Bentonville Arkansas Temple,Bentonville Arkansas United States,O
Bern Switzerland Temple,Zollikofen Bern Switzerland,O
Billings Montana Temple,Billings Montana United States,O
Birmingham Alabama Temple,Gardendale Alabama United States,O
Birmingham England Temple,United Kingdom,C
Bismarck North Dakota Temple,Bismarck North Dakota United States,O
Bogota Colombia Temple,Bogota Distrito Capital Colombia,O
Boise Idaho Temple,Boise Idaho United States,O
Boston Massachusetts Temple,Belmont Massachusetts United States,O
Bountiful Utah Temple,Bountiful Utah United States,O
Brasilia Brazil Temple,Brasilia Brazil,O
Brazzaville Republic of the Congo Temple,Republic of the Congo,A
Brigham City Utah Temple,Brigham City Utah United States,O
Brisbane Australia South Temple,Australia,A
Brisbane Australia Temple,Kangaroo Point Queensland Australia,O
Brussels Belgium Temple,Belgium,A
Budapest Hungary Temple,Hungary,A
Buenos Aires Argentina Temple,Ciudad Evita Buenos Aires Argentina,O
Buenos Aires City Center Argentina Temple,Argentina,A
Burley Idaho Temple,United States,C
Busan Korea Temple,South Korea,A
Cagayan de Oro Philippines Temple,Philippines,C
Calabar Nigeria Temple,Nigeria,A
Calgary Alberta Temple,Calgary Alberta Canada,O
